Operon	Start	Stop	Length	Orientation	Average operon coverage	Number of genes in operon	Genes in operon
MT1946	2139767	2140921	1154	+	15.8	1	MT1946
MT1950-MT1951	2142460	2144924	2464	-	87.3	2	MT1950, MT1951
MT1949-MT1952	2142186	2146245	4059	+	77.3	2	MT1949, MT1952
MT1954	2147556	2148059	503	+	34.1	1	MT1954
MT1953	2146297	2147523	1226	-	14.3	1	MT1953
MT1955	2148242	2148676	434	+	96.1	1	MT1955
MT1957.1(not expressed)	2150265	2150534	269	+	NOT EXPRESSED		
MT1956-MT1957	2148724	2150189	1465	-	205.0	2	MT1956, MT1957
MT1958-MT1960	2150526	2153892	3366	-	437.9	3	MT1958, MT1959, MT1960
MT1961-MT1963	2153997	2156382	2385	-	78.1	3	MT1961, MT1962, MT1963
MT1964	2156482	2157234	752	+	11.7	1	MT1964
MT1965	2157212	2157619	407	-	42.0	1	MT1965
MT1968(not expressed)	2160224	2164699	4475	-	NOT EXPRESSED		
MT1969	2165004	2168045	3041	-	31.4	1	MT1969
MT1966	2157754	2160054	2300	+	169.7	1	MT1966
MT1970	2168416	2168901	485	-	79.4	1	MT1970
MT1972(not expressed)	2169879	2171150	1271	-	NOT EXPRESSED		
MT1971	2168978	2169841	863	+	24.9	1	MT1971
MT1973	2171422	2172537	1115	+	31.6	1	MT1973
MT1974	2172588	2173868	1280	+	98.7	1	MT1974
MT1975	2173905	2174375	470	-	44.9	1	MT1975
MT1977	2176312	2176791	479	-	60.2	1	MT1977
MT1978(not expressed)	2176921	2177013	92	-	NOT EXPRESSED		
MT1976	2174442	2176304	1862	+	1326.2	1	MT1976
MT1980.2(not expressed)	2179250	2179774	524	-	NOT EXPRESSED		
MT1979	2177025	2177801	776	+	59.1	1	MT1979
MT1981	2179792	2180583	791	-	10.2	1	MT1981
MT1983(not expressed)	2181198	2182289	1091	-	NOT EXPRESSED		
MT1982	2180704	2181201	497	+	412.3	1	MT1982
MT1984(not expressed)	2182291	2183520	1229	-	NOT EXPRESSED		
MT1985(not expressed)	2183535	2184491	956	-	NOT EXPRESSED		
MT1986(not expressed)	2184716	2185825	1109	+	NOT EXPRESSED		
MT1987(not expressed)	2185828	2188347	2519	+	NOT EXPRESSED		
MT1988(not expressed)	2188359	2189429	1070	+	NOT EXPRESSED		
MT1989(not expressed)	2189426	2189941	515	+	NOT EXPRESSED		
MT1990(not expressed)	2189938	2190999	1061	+	NOT EXPRESSED		
MT1991(not expressed)	2190996	2191766	770	+	NOT EXPRESSED		
MT1992-MT1994	2191976	2193266	1290	-	13.7	3	MT1992, MT1993, MT1994
MT1997(not expressed)	2194840	2195292	452	-	NOT EXPRESSED		
MT1998.1	2196046	2196396	350	-	12.5	1	MT1998.1
MT1999(not expressed)	2196407	2197309	902	-	NOT EXPRESSED		
MT2000	2197330	2197521	191	-	35.2	1	MT2000
MT2001(not expressed)	2197522	2197935	413	-	NOT EXPRESSED		
MT1995-MT1998	2193237	2195757	2520	+	47.1	2	MT1995, MT1998
MT2002-MT2006	2198046	2200461	2415	+	14.7	5	MT2002, MT2003, MT2004, MT2005, MT2006
MT2007(not expressed)	2200518	2200670	152	+	NOT EXPRESSED		
MT2008-MT2009	2201013	2201557	544	-	31.0	2	MT2008, MT2009
MT2012-MT2015	2202198	2204246	2048	-	14.5	4	MT2012, MT2013, MT2014, MT2015
MT2015.1(not expressed)	2204353	2204805	452	-	NOT EXPRESSED		
MT2010-MT2011	2201544	2202145	601	+	9.6	2	MT2010, MT2011
MT2015.2(not expressed)	2204770	2205039	269	+	NOT EXPRESSED		
MT2016(not expressed)	2205033	2205830	797	+	NOT EXPRESSED		
MT2017(not expressed)	2205840	2206655	815	+	NOT EXPRESSED		
MT2018(not expressed)	2206660	2207937	1277	+	NOT EXPRESSED		
MT2019(not expressed)	2207934	2208962	1028	+	NOT EXPRESSED		
MT2020(not expressed)	2208869	2210191	1322	+	NOT EXPRESSED		
MT2021(not expressed)	2210188	2211459	1271	+	NOT EXPRESSED		
MT2022(not expressed)	2211456	2212589	1133	+	NOT EXPRESSED		
MT2023(not expressed)	2212590	2213903	1313	+	NOT EXPRESSED		
MT2024(not expressed)	2213925	2214500	575	+	NOT EXPRESSED		
MT2024.1(not expressed)	2214497	2214979	482	+	NOT EXPRESSED		
MT2025(not expressed)	2214992	2215369	377	+	NOT EXPRESSED		
MT2026(not expressed)	2215385	2216050	665	+	NOT EXPRESSED		
MT2027-MT2028	2216058	2216584	526	-	20.8	2	MT2027, MT2028
MT2029-MT2030	2217087	2219089	2002	+	20.4	2	MT2029, MT2030
MT2031-MT2035	2219052	2223434	4382	-	583.6	5	MT2031, MT2032, MT2033, MT2034, MT2035
MT2036	2223577	2225253	1676	+	14.2	1	MT2036
MT2037	2225241	2225894	653	-	83.4	1	MT2037
MT2038	2226009	2226239	230	+	112.4	1	MT2038
MT2040	2227344	2227943	599	+	27.7	1	MT2040
MT2041-MT2042	2228359	2229552	1193	+	130.0	2	MT2041, MT2042
MT2039	2226324	2227235	911	-	16.8	1	MT2039
MT2042.1	2229732	2230004	272	+	123.2	1	MT2042.1
MT2043-MT2044	2230072	2230970	898	-	46.0	2	MT2043, MT2044
MT2045.1(not expressed)	2231214	2231549	335	-	NOT EXPRESSED		
MT2045	2231056	2231313	257	+	21.4	1	MT2045
MT2051(not expressed)	2235474	2236241	767	+	NOT EXPRESSED		
MT2052	2236337	2237290	953	+	94.9	1	MT2052
MT2053(not expressed)	2237504	2240209	2705	+	NOT EXPRESSED		
MT2046-MT2050	2231638	2235317	3679	-	43.7	5	MT2046, MT2047, MT2048, MT2049, MT2050
MT2054	2240278	2241054	776	-	14.9	1	MT2054
MT2055(not expressed)	2241149	2242471	1322	-	NOT EXPRESSED		
MT2059(not expressed)	2245896	2246753	857	-	NOT EXPRESSED		
MT2056-MT2058	2242524	2245775	3251	+	19.8	3	MT2056, MT2057, MT2058
MT2060-MT2063	2246811	2253761	6950	-	96.0	3	MT2060, MT2061, MT2063
MT2064(not expressed)	2253950	2255308	1358	-	NOT EXPRESSED		
MT2062	2249335	2253318	3983	+	11.9	1	MT2062
MT2064.1-MT2065	2255363	2256004	641	+	233.4	2	MT2064.1, MT2065
MT2067(not expressed)	2256659	2257153	494	+	NOT EXPRESSED		
MT2066	2256187	2256618	431	-	15.2	1	MT2066
MT2068(not expressed)	2257150	2257398	248	+	NOT EXPRESSED		
MT2069(not expressed)	2257857	2258477	620	+	NOT EXPRESSED		
MT2070(not expressed)	2258431	2259021	590	+	NOT EXPRESSED		
MT2072	2260693	2261334	641	+	18.3	1	MT2072
MT2073(not expressed)	2261331	2262371	1040	+	NOT EXPRESSED		
MT2071	2259149	2260444	1295	-	45.8	1	MT2071
MT2076-MT2078	2263754	2265057	1303	-	55.9	3	MT2076, MT2077, MT2078
MT2079-MT2081	2265082	2267608	2526	-	33.4	4	MT2079, MT2080, MT2080.1, MT2081
MT2082	2267753	2272573	4820	-	27.6	1	MT2082
MT2083(not expressed)	2272780	2272896	116	-	NOT EXPRESSED		
MT2084	2273083	2274081	998	-	13.1	1	MT2084
MT2085(not expressed)	2274196	2275080	884	-	NOT EXPRESSED		
MT2086	2275120	2276841	1721	-	13.4	1	MT2086
MT2087(not expressed)	2276902	2277741	839	-	NOT EXPRESSED		
MT2074-MT2075	2262544	2263738	1194	+	10.9	2	MT2074, MT2075
MT2088-MT2090	2277738	2281265	3527	-	106.9	3	MT2088, MT2089, MT2090
MT2091	2281456	2282457	1001	+	20.4	1	MT2091
MT2092-MT2093	2282441	2283415	974	-	22.7	2	MT2092, MT2093
MT2097	2285080	2286054	974	-	16.6	1	MT2097
MT2098(not expressed)	2286056	2287129	1073	-	NOT EXPRESSED		
MT2094-MT2096	2283480	2285073	1593	+	16.6	3	MT2094, MT2095, MT2096
MT2099(not expressed)	2287132	2287974	842	-	NOT EXPRESSED		
MT2100	2287961	2288863	902	-	10.3	1	MT2100
MT2101(not expressed)	2288860	2290179	1319	-	NOT EXPRESSED		
MT2102-MT2103	2290217	2291574	1357	-	53.6	2	MT2102, MT2103
MT2106(not expressed)	2293602	2294258	656	+	NOT EXPRESSED		
MT2104-MT2105	2291615	2293523	1908	-	31.1	2	MT2104, MT2105
MT2107-MT2108	2294295	2309319	15024	-	21.0	2	MT2107, MT2108
MT2109-MT2111	2309626	2313070	3444	-	31.0	2	MT2109, MT2111
MT2110	2310154	2310489	335	+	88.3	1	MT2110
MT2113(not expressed)	2314831	2315409	578	+	NOT EXPRESSED		
MT2112	2313246	2314850	1604	-	27.2	1	MT2112
MT2115(not expressed)	2316307	2316429	122	-	NOT EXPRESSED		
MT2116	2316420	2316686	266	-	26.4	1	MT2116
MT2117(not expressed)	2316687	2316992	305	-	NOT EXPRESSED		
MT2114	2315458	2316171	713	+	48.5	1	MT2114
MT2117.1(not expressed)	2316994	2317158	164	-	NOT EXPRESSED		
MT2118(not expressed)	2317158	2317394	236	-	NOT EXPRESSED		
MT2119(not expressed)	2317507	2319042	1535	+	NOT EXPRESSED		
MT2120	2319014	2319457	443	-	99.7	1	MT2120
MT2122	2323164	2323397	233	+	18.1	1	MT2122
MT2123-MT2124	2323474	2324875	1401	+	11.1	2	MT2123, MT2124
MT2121	2319502	2323089	3587	-	42.0	1	MT2121
MT2125-MT2126	2324885	2327034	2149	+	14.4	2	MT2125, MT2126
MT2127-MT2128	2326980	2329142	2162	-	50.0	2	MT2127, MT2128
MT2130-MT2131	2329824	2331355	1531	-	8.8	2	MT2130, MT2131
MT2132(not expressed)	2331307	2332479	1172	-	NOT EXPRESSED		
MT2129	2328899	2329834	935	+	25.4	1	MT2129
MT2133	2332547	2333296	749	-	11.8	1	MT2133
MT2135	2333749	2335212	1463	-	13.0	1	MT2135
MT2136	2335370	2335669	299	-	13.4	1	MT2136
MT2137(not expressed)	2335656	2336627	971	-	NOT EXPRESSED		
MT2134	2333326	2333739	413	+	267.1	1	MT2134
MT2138(not expressed)	2336628	2336927	299	-	NOT EXPRESSED		
MT2138.1(not expressed)	2337061	2337210	149	+	NOT EXPRESSED		
MT2138.2(not expressed)	2337185	2337628	443	-	NOT EXPRESSED		
MT2142	2340177	2340371	194	-	43.0	1	MT2142
MT2139-MT2147	2337392	2345659	8267	+	42.2	7	MT2139, MT2140, MT2141, MT2144, MT2145, MT2146, MT2147
MT2143	2340398	2340850	452	-	37.7	1	MT2143
MT2150(not expressed)	2348524	2349651	1127	-	NOT EXPRESSED		
MT2149	2346738	2348507	1769	+	15.6	1	MT2149
MT2151(not expressed)	2349867	2350823	956	+	NOT EXPRESSED		
MT2152-MT2153	2350827	2354323	3496	-	128.2	2	MT2152, MT2153
MT2154-MT2158	2354371	2358945	4574	-	155.8	5	MT2154, MT2155, MT2156, MT2157, MT2158
MT2159(not expressed)	2358997	2360472	1475	-	NOT EXPRESSED		
MT2160(not expressed)	2360652	2362307	1655	+	NOT EXPRESSED		
MT2163-MT2164	2366353	2367048	695	-	61.2	2	MT2163, MT2164
MT2165(not expressed)	2367064	2367360	296	-	NOT EXPRESSED		
MT2160.1-MT2162	2362470	2366374	3904	+	33.2	3	MT2160.1, MT2161, MT2162
MT2165.1(not expressed)	2368020	2368118	98	-	NOT EXPRESSED		
MT2166(not expressed)	2368268	2368564	296	+	NOT EXPRESSED		
MT2167-MT2168	2368620	2369768	1148	+	32.0	2	MT2167, MT2168
MT2169-MT2172	2369891	2373330	3439	-	196.9	4	MT2169, MT2170, MT2171, MT2172
MT2173-MT2174	2373481	2375308	1827	+	12.3	2	MT2173, MT2174
MT2176(not expressed)	2377422	2377991	569	+	NOT EXPRESSED		
MT2175	2375312	2377141	1829	-	254.2	1	MT2175
MT2177(not expressed)	2377999	2378292	293	+	NOT EXPRESSED		
MT2178	2378321	2379163	842	-	18.4	1	MT2178
MT2179	2379237	2380073	836	+	15.3	1	MT2179
MT2182.1(not expressed)	2381922	2382374	452	+	NOT EXPRESSED		
MT2184	2384870	2385748	878	+	62.2	1	MT2184
MT2180-MT2183	2380096	2384581	4485	-	48.8	4	MT2180, MT2181, MT2182, MT2183
MT2186	2387273	2388661	1388	+	86.0	1	MT2186
MT2190	2391969	2392217	248	+	16.5	1	MT2190
MT2187-MT2195	2388884	2395891	7007	-	520.9	8	MT2187, MT2188, MT2189, MT2191, MT2192, MT2193, MT2194, MT2195
MT2198-MT2199	2398374	2400298	1924	-	45.4	2	MT2198, MT2199
MT2196-MT2197	2395906	2398369	2463	+	57.5	2	MT2196, MT2197
MT2200-MT2201	2400885	2401414	529	-	105.2	2	MT2200, MT2201
MT2203-MT2209	2402857	2408282	5425	-	57.5	7	MT2203, MT2204, MT2205, MT2206, MT2207, MT2208, MT2209
MT2210-MT2220	2408389	2423530	15141	-	262.0	12	MT2210, MT2211, MT2212, MT2213, MT2214, MT2215, MT2216, MT2217, MT2218, MT2218.1, MT2219, MT2220
MT2221-MT2223	2423740	2427961	4221	-	36.4	3	MT2221, MT2222, MT2223
MT2224	2428119	2428550	431	-	182.3	1	MT2224
MT2202	2401669	2402727	1058	+	23.4	1	MT2202
MT2226	2429569	2430189	620	+	16.0	1	MT2226
MT2225	2428899	2429303	404	-	136.8	1	MT2225
MT2227	2430243	2430968	725	+	38.9	1	MT2227
MT2228	2430965	2431945	980	-	53.5	1	MT2228
MT2229-MT2230	2432181	2434793	2612	+	29.5	2	MT2229, MT2230
MT2231	2434780	2435244	464	-	18.9	1	MT2231
MT2233(not expressed)	2436616	2437281	665	-	NOT EXPRESSED		
MT2234	2437666	2439054	1388	-	159.6	1	MT2234
MT2234.1(not expressed)	2439145	2439651	506	-	NOT EXPRESSED		
MT2232	2435275	2436474	1199	+	14.7	1	MT2232
MT2235	2439661	2440599	938	-	10.6	1	MT2235
MT2236	2440636	2441919	1283	+	81.2	1	MT2236
MT2237-MT2241	2441920	2445328	3408	-	70.4	5	MT2237, MT2238, MT2239, MT2240, MT2241
MT2243	2447327	2448484	1157	-	28.3	1	MT2243
MT2244-MT2245	2448581	2450663	2082	-	120.7	2	MT2244, MT2245
MT2246(not expressed)	2450792	2451070	278	-	NOT EXPRESSED		
MT2242	2445485	2447296	1811	+	73.4	1	MT2242
MT2247(not expressed)	2451177	2453090	1913	+	NOT EXPRESSED		
MT2248	2452965	2454008	1043	-	31.8	1	MT2248
MT2249-MT2252	2454235	2458661	4426	+	337.3	4	MT2249, MT2250, MT2251, MT2252
MT2253-MT2256	2458781	2462028	3247	-	202.7	4	MT2253, MT2254, MT2255, MT2256
MT2257	2462274	2464232	1958	+	16.7	1	MT2257
MT2259	2465508	2466200	692	+	19.1	1	MT2259
MT2262-MT2264	2467899	2470519	2620	+	34.7	3	MT2262, MT2263, MT2264
MT2265(not expressed)	2470677	2472215	1538	+	NOT EXPRESSED		
MT2258-MT2261	2464330	2467809	3479	-	174.2	3	MT2258, MT2260, MT2261
MT2266-MT2267	2472141	2474458	2317	-	63.0	2	MT2266, MT2267
MT2268-MT2269	2474437	2477162	2725	+	21.3	2	MT2268, MT2269
MT2270	2477200	2478978	1778	-	115.2	1	MT2270
MT2272-MT2276	2479242	2484264	5022	+	100.0	5	MT2272, MT2273, MT2274, MT2275, MT2276
MT2277	2484271	2484765	494	-	17.7	1	MT2277
MT2279-MT2282	2486644	2494259	7615	-	120.0	4	MT2279, MT2280, MT2281, MT2282
MT2283(not expressed)	2494500	2494691	191	-	NOT EXPRESSED		
MT2278	2484890	2486326	1436	+	122.9	1	MT2278
MT2284	2495017	2495862	845	+	23.8	1	MT2284
MT2285	2496107	2497648	1541	+	36.5	1	MT2285
MT2285.2(not expressed)	2498198	2498425	227	+	NOT EXPRESSED		
MT2286(not expressed)	2498422	2498907	485	+	NOT EXPRESSED		
MT2287-MT2290	2498919	2502855	3936	-	30.2	2	MT2287, MT2290
MT2291(not expressed)	2503009	2503428	419	-	NOT EXPRESSED		
MT2295(not expressed)	2505707	2506648	941	-	NOT EXPRESSED		
MT2292-MT2294	2503551	2505725	2174	+	27.1	3	MT2292, MT2293, MT2294
MT2297	2507624	2507860	236	-	150.5	1	MT2297
MT2296	2506714	2507529	815	+	40.7	1	MT2296
MT2301-MT2302	2509812	2513821	4009	+	100.8	2	MT2301, MT2302
MT2298-MT2300	2507988	2509748	1760	-	58.3	3	MT2298, MT2299, MT2300
MT2309(not expressed)	2520502	2522046	1544	-	NOT EXPRESSED		
MT2303-MT2308	2514060	2520447	6387	+	122.0	6	MT2303, MT2304, MT2305, MT2306, MT2307, MT2308
MT2310(not expressed)	2522046	2522705	659	-	NOT EXPRESSED		
MT2311	2522663	2524252	1589	+	14.5	1	MT2311
MT2314(not expressed)	2525243	2525746	503	+	NOT EXPRESSED		
MT2315(not expressed)	2525779	2526234	455	-	NOT EXPRESSED		
MT2316(not expressed)	2526353	2526571	218	+	NOT EXPRESSED		
MT2317	2526600	2527133	533	-	291.9	1	MT2317
MT2318-MT2319	2527263	2529156	1893	-	79.9	2	MT2318, MT2319
MT2322(not expressed)	2531248	2532756	1508	-	NOT EXPRESSED		
MT2320-MT2321	2529451	2531171	1720	+	53.0	2	MT2320, MT2321
MT2324(not expressed)	2533776	2535554	1778	-	NOT EXPRESSED		
MT2323	2532845	2533798	953	+	24.0	1	MT2323
MT2325(not expressed)	2535626	2535757	131	+	NOT EXPRESSED		
MT2327(not expressed)	2535904	2537133	1229	+	NOT EXPRESSED		
MT2326	2535754	2535849	95	-	184.4	1	MT2326
MT2328	2537308	2538594	1286	+	23.9	1	MT2328
MT2331(not expressed)	2541902	2542429	527	+	NOT EXPRESSED		
MT2329-MT2330.1	2538848	2541764	2916	-	26.9	3	MT2329, MT2330, MT2330.1
MT2332-MT2334	2542536	2543635	1099	+	60.6	3	MT2332, MT2333, MT2334
MT2334.1	2543876	2544046	170	-	15.9	1	MT2334.1
MT2337(not expressed)	2546328	2547242	914	-	NOT EXPRESSED		
MT2335-MT2336	2544087	2546143	2056	+	20.0	2	MT2335, MT2336
MT2340(not expressed)	2550784	2551722	938	-	NOT EXPRESSED		
MT2338-MT2339	2547406	2550677	3271	+	102.6	2	MT2338, MT2339
MT2341(not expressed)	2551771	2552019	248	-	NOT EXPRESSED		
MT2342	2551991	2553286	1295	+	55.4	1	MT2342
MT2343	2553319	2554656	1337	+	27.4	1	MT2343
MT2344	2554723	2555415	692	-	21.9	1	MT2344
MT2349(not expressed)	2559875	2560099	224	-	NOT EXPRESSED		
MT2345-MT2348	2555549	2559874	4325	+	157.4	5	MT2345, MT2345.1, MT2346, MT2347, MT2348
MT2351	2561233	2562396	1163	+	15.0	1	MT2351
MT2352-MT2354	2562693	2564736	2043	+	36.0	3	MT2352, MT2353, MT2354
MT2350	2560138	2560878	740	-	13.0	1	MT2350
MT2356	2565905	2567848	1943	-	65.5	1	MT2356
MT2355	2564928	2565899	971	+	31.4	1	MT2355
MT2357	2567922	2568854	932	-	10.9	1	MT2357
MT2360(not expressed)	2569942	2570865	923	-	NOT EXPRESSED		
MT2358-MT2359	2568894	2569901	1007	+	133.7	2	MT2358, MT2359
MT2361(not expressed)	2570862	2571071	209	-	NOT EXPRESSED		
MT2361.1(not expressed)	2571454	2571633	179	-	NOT EXPRESSED		
MT2363(not expressed)	2573040	2573666	626	-	NOT EXPRESSED		
MT2362	2571655	2572944	1289	+	11.8	1	MT2362
MT2364.1(not expressed)	2574739	2574849	110	+	NOT EXPRESSED		
MT2364	2573697	2574542	845	-	24.8	1	MT2364
MT2365(not expressed)	2575074	2575265	191	-	NOT EXPRESSED		
MT2365.1	2575350	2575751	401	-	25.6	1	MT2365.1
MT2366	2576265	2576981	716	+	17.6	1	MT2366
MT2367(not expressed)	2576991	2577323	332	+	NOT EXPRESSED		
MT2365.2	2575874	2576056	182	-	29.0	1	MT2365.2
MT2367.1-MT2368	2577270	2578144	874	-	312.1	2	MT2367.1, MT2368
MT2369(not expressed)	2578161	2578286	125	-	NOT EXPRESSED		
MT2370(not expressed)	2578323	2578490	167	-	NOT EXPRESSED		
MT2370.1(not expressed)	2578521	2578676	155	-	NOT EXPRESSED		
MT2370.2(not expressed)	2578673	2578837	164	-	NOT EXPRESSED		
MT2370.3(not expressed)	2578891	2579178	287	+	NOT EXPRESSED		
MT2371(not expressed)	2579123	2579275	152	+	NOT EXPRESSED		
MT2372(not expressed)	2579281	2579625	344	+	NOT EXPRESSED		
MT2373(not expressed)	2579730	2580254	524	+	NOT EXPRESSED		
MT2374	2580332	2580601	269	+	32.0	1	MT2374
MT2379(not expressed)	2584684	2585556	872	+	NOT EXPRESSED		
MT2375-MT2378	2580583	2584650	4067	-	39.8	4	MT2375, MT2376, MT2377, MT2378
MT2380(not expressed)	2585543	2586367	824	+	NOT EXPRESSED		
MT2381(not expressed)	2586364	2587644	1280	+	NOT EXPRESSED		
MT2382(not expressed)	2587693	2588571	878	-	NOT EXPRESSED		
MT2383(not expressed)	2588568	2589983	1415	-	NOT EXPRESSED		
MT2385	2591206	2592114	908	-	23.4	1	MT2385
MT2386	2592179	2592625	446	+	20.8	1	MT2386
MT2387-MT2388	2592854	2595792	2938	-	54.0	2	MT2387, MT2388
MT2391(not expressed)	2597759	2599306	1547	-	NOT EXPRESSED		
MT2389-MT2390	2595833	2597724	1891	+	44.5	2	MT2389, MT2390
MT2392(not expressed)	2599540	2600067	527	-	NOT EXPRESSED		
MT2393(not expressed)	2599941	2600528	587	+	NOT EXPRESSED		
MT2394(not expressed)	2600953	2602599	1646	+	NOT EXPRESSED		
MT2396(not expressed)	2604193	2604363	170	+	NOT EXPRESSED		
MT2395	2602553	2604166	1613	-	12.7	1	MT2395
MT2400-MT2401	2607714	2609908	2194	-	44.1	2	MT2400, MT2401
MT2401.1(not expressed)	2609913	2610197	284	-	NOT EXPRESSED		
MT2397-MT2399	2604641	2607650	3009	+	48.2	3	MT2397, MT2398, MT2399
MT2404	2613512	2614753	1241	-	22.0	1	MT2404
MT2405(not expressed)	2614868	2615038	170	-	NOT EXPRESSED		
MT2401.2-MT2402	2610292	2613426	3134	+	38.3	2	MT2401.2, MT2402
MT2406(not expressed)	2615442	2615861	419	+	NOT EXPRESSED		
MT2407	2616081	2616374	293	+	61.9	1	MT2407
MT2408-MT2409	2616378	2619597	3219	-	37.0	2	MT2408, MT2409
MT2411-MT2413	2621733	2622825	1092	-	459.5	3	MT2411, MT2412, MT2413
MT2414-MT2415	2623017	2626164	3147	-	52.8	2	MT2414, MT2415
MT2410	2619666	2621648	1982	+	62.7	1	MT2410
MT2417(not expressed)	2628125	2628238	113	+	NOT EXPRESSED		
MT2416	2626382	2627944	1562	-	30.1	1	MT2416
MT2418(not expressed)	2628410	2628637	227	+	NOT EXPRESSED		
MT2419(not expressed)	2628768	2629943	1175	-	NOT EXPRESSED		
MT2420-MT2422	2630145	2632079	1934	-	150.1	3	MT2420, MT2421, MT2422
MT2423	2632416	2634281	1865	-	54.2	1	MT2423
MT2423.1-MT2425	2634431	2636866	2435	-	32.1	2	MT2423.1, MT2425
MT2424	2634822	2634932	110	+	174.0	1	MT2424
MT2426	2637004	2638395	1391	-	37.6	1	MT2426
MT2427-MT2428	2638577	2639373	796	+	142.4	2	MT2427, MT2428
MT2429-MT2431	2639481	2641589	2108	-	39.3	3	MT2429, MT2430, MT2431
MT2433-MT2437	2643102	2647305	4203	-	86.4	5	MT2433, MT2434, MT2435, MT2436, MT2437
MT2438(not expressed)	2647441	2647554	113	-	NOT EXPRESSED		
MT2432	2641651	2643105	1454	+	13.7	1	MT2432
MT2439(not expressed)	2647576	2648889	1313	-	NOT EXPRESSED		
MT2440(not expressed)	2648982	2649269	287	+	NOT EXPRESSED		
MT2444	2652596	2652913	317	+	34.4	1	MT2444
MT2452(not expressed)	2673267	2674964	1697	+	NOT EXPRESSED		
MT2441-MT2451	2649368	2673168	23800	-	7.7	11	MT2441, MT2442, MT2443, MT2445, MT2445.1, MT2446, MT2447, MT2448, MT2449, MT2450, MT2451
MT2453(not expressed)	2674997	2675980	983	+	NOT EXPRESSED		
MT2454	2675984	2677336	1352	-	17.1	1	MT2454
MT2455-MT2456	2677789	2679349	1560	+	16.0	2	MT2455, MT2456
MT2460-MT2465	2681818	2689406	7588	+	26.7	6	MT2460, MT2461, MT2462, MT2463, MT2464, MT2465
MT2457-MT2459	2679346	2681597	2251	-	14.9	3	MT2457, MT2458, MT2459
MT2466-MT2467.1	2689555	2691215	1660	+	114.2	3	MT2466, MT2467, MT2467.1
MT2472(not expressed)	2694984	2695388	404	+	NOT EXPRESSED		
MT2468-MT2473	2691240	2695567	4327	-	17.3	5	MT2468, MT2469, MT2470, MT2471, MT2473
MT2474	2695860	2697788	1928	+	25.4	1	MT2474
MT2475-MT2476	2697866	2700579	2713	-	14.9	2	MT2475, MT2476
MT2477	2700718	2701167	449	+	42.1	1	MT2477
MT2479(not expressed)	2701694	2702368	674	+	NOT EXPRESSED		
MT2478	2701338	2701631	293	-	60.8	1	MT2478
MT2480(not expressed)	2702336	2702608	272	-	NOT EXPRESSED		
MT2481(not expressed)	2702582	2703586	1004	+	NOT EXPRESSED		
MT2482-MT2484	2703344	2706815	3471	-	27.4	3	MT2482, MT2483, MT2484
MT2486	2707201	2708169	968	-	26.2	1	MT2486
MT2487-MT2488	2708182	2710382	2200	-	68.4	2	MT2487, MT2488
MT2488.1(not expressed)	2710324	2710932	608	-	NOT EXPRESSED		
MT2485	2706925	2707185	260	+	111.9	1	MT2485
MT2495(not expressed)	2715933	2716205	272	+	NOT EXPRESSED		
MT2489-MT2494	2710974	2715658	4684	-	18.1	6	MT2489, MT2490, MT2491, MT2492, MT2493, MT2494
MT2496(not expressed)	2716447	2717493	1046	+	NOT EXPRESSED		
MT2497(not expressed)	2717626	2718627	1001	-	NOT EXPRESSED		
MT2498-MT2500	2718716	2722327	3611	-	83.4	3	MT2498, MT2499, MT2500
MT2501(not expressed)	2722410	2722655	245	-	NOT EXPRESSED		
MT2502(not expressed)	2722716	2722910	194	-	NOT EXPRESSED		
MT2505-MT2506	2724186	2725116	930	-	67.8	2	MT2505, MT2506
MT2507(not expressed)	2725694	2725984	290	-	NOT EXPRESSED		
MT2503-MT2504	2723043	2724189	1146	+	31.2	2	MT2503, MT2504
MT2508(not expressed)	2725965	2727410	1445	-	NOT EXPRESSED		
MT2509	2727407	2729599	2192	-	16.0	1	MT2509
MT2510(not expressed)	2729634	2729762	128	-	NOT EXPRESSED		
MT2511	2730080	2730994	914	+	30.4	1	MT2511
MT2512(not expressed)	2731208	2731645	437	+	NOT EXPRESSED		
MT2514(not expressed)	2733838	2733966	128	+	NOT EXPRESSED		
MT2513	2731642	2733858	2216	-	77.0	1	MT2513
MT2519	2737556	2739031	1475	+	19.3	1	MT2519
MT2515-MT2525	2733967	2748467	14500	-	58.2	11	MT2515, MT2516, MT2517, MT2518, MT2518.1, MT2520, MT2521, MT2522, MT2523, MT2524, MT2525
MT2526(not expressed)	2748509	2749075	566	-	NOT EXPRESSED		
MT2520.1	2740963	2741418	455	+	60.6	1	MT2520.1
MT2527(not expressed)	2749109	2749507	398	+	NOT EXPRESSED		
MT2527.1(not expressed)	2749695	2749841	146	-	NOT EXPRESSED		
MT2528-MT2530	2749865	2753565	3700	-	99.7	3	MT2528, MT2529, MT2530
MT2533	2756625	2757533	908	+	11.8	1	MT2533
MT2531-MT2532	2753782	2756334	2552	-	366.4	2	MT2531, MT2532
MT2534	2757655	2759226	1571	+	30.9	1	MT2534
MT2538(not expressed)	2762501	2763685	1184	+	NOT EXPRESSED		
MT2535-MT2537	2759377	2762137	2760	-	182.6	3	MT2535, MT2536, MT2537
MT2541(not expressed)	2765005	2765883	878	+	NOT EXPRESSED		
MT2539-MT2540	2763705	2764996	1291	-	40.0	2	MT2539, MT2540
MT2542	2765832	2768417	2585	+	43.6	1	MT2542
