Strain,Gene,No_of_mutations
TB_RSA114.annotated.vcf,RVBD_2167c,885
TB_RSA114.annotated.vcf,RVBD_2649,885
TB_RSA114.annotated.vcf,RVBD_2355,885
TB_RSA114.annotated.vcf,RVBD_2279,837
TB_RSA114.annotated.vcf,RVBD_2479c,677
TB_RSA114.annotated.vcf,RVBD_0796,498
TB_RSA114.annotated.vcf,RVBD_2105,327
TB_RSA114.annotated.vcf,RVBD_2278,327
TB_RSA114.annotated.vcf,RVBD_2648,327
TB_RSA114.annotated.vcf,RVBD_2168c,327
TB_RSA114.annotated.vcf,RVBD_2354,327
TB_RSA114.annotated.vcf,RVBD_3508,305
TB_RSA114.annotated.vcf,RVBD_0094c,297
TB_RSA114.annotated.vcf,RVBD_2106,252
TB_RSA114.annotated.vcf,RVBD_3388,233
TB_RSA114.annotated.vcf,RVBD_2353c,185
TB_RSA114.annotated.vcf,RVBD_1091,171
TB_RSA114.annotated.vcf,RVBD_1452c,156
TB_RSA114.annotated.vcf,RVBD_3345c,148
TB_RSA114.annotated.vcf,RVBD_0064,125
TB_RSA114.annotated.vcf,RVBD_2090,117
TB_RSA114.annotated.vcf,RVBD_1450c,48
TB_RSA114.annotated.vcf,RVBD_3512,38
TB_RSA114.annotated.vcf,RVBD_1047,36
TB_RSA114.annotated.vcf,RVBD_0278c,20
TB_RSA114.annotated.vcf,RVBD_2277c,17
TB_RSA114.annotated.vcf,RVBD_2931,15
TB_RSA114.annotated.vcf,RVBD_2162c,13
TB_RSA114.annotated.vcf,RVBD_2124c,12
TB_RSA114.annotated.vcf,RVBD_2487c,10
TB_RSA117.annotated.vcf,RVBD_1369c,885
TB_RSA117.annotated.vcf,RVBD_2814c,885
TB_RSA117.annotated.vcf,RVBD_3475,885
TB_RSA117.annotated.vcf,RVBD_3380c,885
TB_RSA117.annotated.vcf,RVBD_2167c,885
TB_RSA117.annotated.vcf,RVBD_1756c,885
TB_RSA117.annotated.vcf,RVBD_1764,885
TB_RSA117.annotated.vcf,RVBD_2106,885
TB_RSA117.annotated.vcf,RVBD_2479c,885
TB_RSA117.annotated.vcf,RVBD_2649,885
TB_RSA117.annotated.vcf,RVBD_2279,885
TB_RSA117.annotated.vcf,RVBD_3326,885
TB_RSA117.annotated.vcf,RVBD_2355,885
TB_RSA117.annotated.vcf,RVBD_3507,752
TB_RSA117.annotated.vcf,RVBD_1371,611
TB_RSA117.annotated.vcf,RVBD_1450c,566
TB_RSA117.annotated.vcf,RVBD_3187,441
TB_RSA117.annotated.vcf,RVBD_1765c,420
TB_RSA117.annotated.vcf,RVBD_0746,382
TB_RSA117.annotated.vcf,RVBD_3381c,327
TB_RSA117.annotated.vcf,RVBD_2480c,327
TB_RSA117.annotated.vcf,RVBD_3184,327
TB_RSA117.annotated.vcf,RVBD_2105,327
TB_RSA117.annotated.vcf,RVBD_3474,327
TB_RSA117.annotated.vcf,RVBD_2278,327
TB_RSA117.annotated.vcf,RVBD_1370c,327
TB_RSA117.annotated.vcf,RVBD_3325,327
TB_RSA117.annotated.vcf,RVBD_2815c,327
TB_RSA117.annotated.vcf,RVBD_2648,327
TB_RSA117.annotated.vcf,RVBD_2168c,327
TB_RSA118.annotated.vcf,RVBD_3179,1290
TB_RSA118.annotated.vcf,RVBD_1765c,1062
TB_RSA118.annotated.vcf,RVBD_1369c,885
TB_RSA118.annotated.vcf,RVBD_2814c,885
TB_RSA118.annotated.vcf,RVBD_3185,885
TB_RSA118.annotated.vcf,RVBD_3187,885
TB_RSA118.annotated.vcf,RVBD_3475,885
TB_RSA118.annotated.vcf,RVBD_2167c,885
TB_RSA118.annotated.vcf,RVBD_1756c,885
TB_RSA118.annotated.vcf,RVBD_1764,885
TB_RSA118.annotated.vcf,RVBD_2106,885
TB_RSA118.annotated.vcf,RVBD_2479c,885
TB_RSA118.annotated.vcf,RVBD_2649,885
TB_RSA118.annotated.vcf,RVBD_2279,885
TB_RSA118.annotated.vcf,RVBD_3326,885
TB_RSA118.annotated.vcf,RVBD_2355,885
TB_RSA118.annotated.vcf,RVBD_3507,650
TB_RSA118.annotated.vcf,RVBD_1371,611
TB_RSA118.annotated.vcf,RVBD_3508,502
TB_RSA118.annotated.vcf,RVBD_1818c,373
TB_RSA118.annotated.vcf,RVBD_2480c,327
TB_RSA118.annotated.vcf,RVBD_3184,327
TB_RSA118.annotated.vcf,RVBD_3186,327
TB_RSA118.annotated.vcf,RVBD_2105,327
TB_RSA118.annotated.vcf,RVBD_3474,327
TB_RSA118.annotated.vcf,RVBD_2278,327
TB_RSA118.annotated.vcf,RVBD_1370c,327
TB_RSA118.annotated.vcf,RVBD_3325,327
TB_RSA118.annotated.vcf,RVBD_2815c,327
TB_RSA118.annotated.vcf,RVBD_2648,327
TB_RSA119.annotated.vcf,RVBD_3179,1290
TB_RSA119.annotated.vcf,RVBD_1765c,1033
TB_RSA119.annotated.vcf,RVBD_1369c,885
TB_RSA119.annotated.vcf,RVBD_2814c,885
TB_RSA119.annotated.vcf,RVBD_3185,885
TB_RSA119.annotated.vcf,RVBD_3475,885
TB_RSA119.annotated.vcf,RVBD_3380c,885
TB_RSA119.annotated.vcf,RVBD_2167c,885
TB_RSA119.annotated.vcf,RVBD_1756c,885
TB_RSA119.annotated.vcf,RVBD_1764,885
TB_RSA119.annotated.vcf,RVBD_2106,885
TB_RSA119.annotated.vcf,RVBD_2479c,885
TB_RSA119.annotated.vcf,RVBD_2649,885
TB_RSA119.annotated.vcf,RVBD_2279,885
TB_RSA119.annotated.vcf,RVBD_3326,885
TB_RSA119.annotated.vcf,RVBD_2355,885
TB_RSA119.annotated.vcf,RVBD_3187,658
TB_RSA119.annotated.vcf,RVBD_1371,611
TB_RSA119.annotated.vcf,RVBD_3388,521
TB_RSA119.annotated.vcf,RVBD_3507,418
TB_RSA119.annotated.vcf,RVBD_3611,365
TB_RSA119.annotated.vcf,RVBD_2615c,343
TB_RSA119.annotated.vcf,RVBD_3381c,327
TB_RSA119.annotated.vcf,RVBD_3184,327
TB_RSA119.annotated.vcf,RVBD_3186,327
TB_RSA119.annotated.vcf,RVBD_2105,327
TB_RSA119.annotated.vcf,RVBD_3474,327
TB_RSA119.annotated.vcf,RVBD_2278,327
TB_RSA119.annotated.vcf,RVBD_2480c,327
TB_RSA119.annotated.vcf,RVBD_1370c,327
TB_RSA11.annotated.vcf,RVBD_1369c,885
TB_RSA11.annotated.vcf,RVBD_1764,885
TB_RSA11.annotated.vcf,RVBD_2814c,885
TB_RSA11.annotated.vcf,RVBD_3475,885
TB_RSA11.annotated.vcf,RVBD_3380c,885
TB_RSA11.annotated.vcf,RVBD_3326,885
TB_RSA11.annotated.vcf,RVBD_0796,885
TB_RSA11.annotated.vcf,RVBD_1756c,885
TB_RSA11.annotated.vcf,RVBD_2106,885
TB_RSA11.annotated.vcf,RVBD_2167c,885
TB_RSA11.annotated.vcf,RVBD_2479c,885
TB_RSA11.annotated.vcf,RVBD_2649,885
TB_RSA11.annotated.vcf,RVBD_2279,885
TB_RSA11.annotated.vcf,RVBD_2355,885
TB_RSA11.annotated.vcf,RVBD_3508,859
TB_RSA11.annotated.vcf,RVBD_1452c,716
TB_RSA11.annotated.vcf,RVBD_3187,498
TB_RSA11.annotated.vcf,RVBD_1450c,346
TB_RSA11.annotated.vcf,RVBD_2480c,327
TB_RSA11.annotated.vcf,RVBD_2105,327
TB_RSA11.annotated.vcf,RVBD_3474,327
TB_RSA11.annotated.vcf,RVBD_2278,327
TB_RSA11.annotated.vcf,RVBD_1370c,327
TB_RSA11.annotated.vcf,RVBD_0795,327
TB_RSA11.annotated.vcf,RVBD_2815c,327
TB_RSA11.annotated.vcf,RVBD_3325,327
TB_RSA11.annotated.vcf,RVBD_2648,327
TB_RSA11.annotated.vcf,RVBD_2168c,327
TB_RSA11.annotated.vcf,RVBD_2354,327
TB_RSA11.annotated.vcf,RVBD_1763,327
TB_RSA120.annotated.vcf,RVBD_3179,1290
TB_RSA120.annotated.vcf,RVBD_1765c,1070
TB_RSA120.annotated.vcf,RVBD_3507,1006
TB_RSA120.annotated.vcf,RVBD_3388,914
TB_RSA120.annotated.vcf,RVBD_1369c,885
TB_RSA120.annotated.vcf,RVBD_3185,885
TB_RSA120.annotated.vcf,RVBD_3187,885
TB_RSA120.annotated.vcf,RVBD_3475,885
TB_RSA120.annotated.vcf,RVBD_3380c,885
TB_RSA120.annotated.vcf,RVBD_2167c,885
TB_RSA120.annotated.vcf,RVBD_1756c,885
TB_RSA120.annotated.vcf,RVBD_1764,885
TB_RSA120.annotated.vcf,RVBD_2106,885
TB_RSA120.annotated.vcf,RVBD_2479c,885
TB_RSA120.annotated.vcf,RVBD_2649,885
TB_RSA120.annotated.vcf,RVBD_2279,885
TB_RSA120.annotated.vcf,RVBD_3326,885
TB_RSA120.annotated.vcf,RVBD_2355,885
TB_RSA120.annotated.vcf,RVBD_2814c,884
TB_RSA120.annotated.vcf,RVBD_1452c,578
TB_RSA120.annotated.vcf,RVBD_1450c,517
TB_RSA120.annotated.vcf,RVBD_0980c,448
TB_RSA120.annotated.vcf,RVBD_3381c,327
TB_RSA120.annotated.vcf,RVBD_3184,327
TB_RSA120.annotated.vcf,RVBD_3186,327
TB_RSA120.annotated.vcf,RVBD_2105,327
TB_RSA120.annotated.vcf,RVBD_3474,327
TB_RSA120.annotated.vcf,RVBD_2278,327
TB_RSA120.annotated.vcf,RVBD_2480c,327
TB_RSA120.annotated.vcf,RVBD_1370c,327
TB_RSA121.annotated.vcf,RVBD_3508,444
TB_RSA121.annotated.vcf,RVBD_1450c,378
TB_RSA121.annotated.vcf,RVBD_0797,318
TB_RSA121.annotated.vcf,RVBD_1753c,294
TB_RSA121.annotated.vcf,RVBD_1452c,201
TB_RSA121.annotated.vcf,RVBD_3345c,147
TB_RSA121.annotated.vcf,RVBD_0064,125
TB_RSA121.annotated.vcf,RVBD_2090,117
TB_RSA121.annotated.vcf,RVBD_0978c,117
TB_RSA121.annotated.vcf,RVBD_0279c,57
TB_RSA121.annotated.vcf,RVBD_0094c,44
TB_RSA121.annotated.vcf,RVBD_3512,38
TB_RSA121.annotated.vcf,RVBD_0278c,19
TB_RSA121.annotated.vcf,RVBD_1091,19
TB_RSA121.annotated.vcf,RVBD_2931,15
TB_RSA121.annotated.vcf,RVBD_2162c,13
TB_RSA121.annotated.vcf,RVBD_2124c,12
TB_RSA121.annotated.vcf,RVBD_1678,10
TB_RSA121.annotated.vcf,RVBD_2487c,10
TB_RSA121.annotated.vcf,RVBD_1818c,10
TB_RSA121.annotated.vcf,RVBD_3590c,8
TB_RSA121.annotated.vcf,RVBD_1844c,7
TB_RSA121.annotated.vcf,RVBD_0095c,6
TB_RSA121.annotated.vcf,RVBD_3347c,6
TB_RSA121.annotated.vcf,RVBD_3343c,6
TB_RSA121.annotated.vcf,RVBD_2048c,6
TB_RSA121.annotated.vcf,RVBD_1917c,5
TB_RSA121.annotated.vcf,RVBD_1361c,5
TB_RSA121.annotated.vcf,RVBD_0236c,4
TB_RSA121.annotated.vcf,RVBD_3619c,4
TB_RSA123.annotated.vcf,RVBD_1369c,885
TB_RSA123.annotated.vcf,RVBD_1764,885
TB_RSA123.annotated.vcf,RVBD_3185,885
TB_RSA123.annotated.vcf,RVBD_3187,885
TB_RSA123.annotated.vcf,RVBD_3475,885
TB_RSA123.annotated.vcf,RVBD_3380c,885
TB_RSA123.annotated.vcf,RVBD_3326,885
TB_RSA123.annotated.vcf,RVBD_1756c,885
TB_RSA123.annotated.vcf,RVBD_2106,885
TB_RSA123.annotated.vcf,RVBD_2167c,885
TB_RSA123.annotated.vcf,RVBD_2479c,885
TB_RSA123.annotated.vcf,RVBD_2649,885
TB_RSA123.annotated.vcf,RVBD_2279,885
TB_RSA123.annotated.vcf,RVBD_2355,885
TB_RSA123.annotated.vcf,RVBD_0094c,572
TB_RSA123.annotated.vcf,RVBD_3381c,327
TB_RSA123.annotated.vcf,RVBD_1763,327
TB_RSA123.annotated.vcf,RVBD_3184,327
TB_RSA123.annotated.vcf,RVBD_3186,327
TB_RSA123.annotated.vcf,RVBD_2105,327
TB_RSA123.annotated.vcf,RVBD_3474,327
TB_RSA123.annotated.vcf,RVBD_2278,327
TB_RSA123.annotated.vcf,RVBD_2480c,327
TB_RSA123.annotated.vcf,RVBD_3325,327
TB_RSA123.annotated.vcf,RVBD_1370c,327
TB_RSA123.annotated.vcf,RVBD_2648,327
TB_RSA123.annotated.vcf,RVBD_2168c,327
TB_RSA123.annotated.vcf,RVBD_2354,327
TB_RSA123.annotated.vcf,RVBD_1757c,327
TB_RSA123.annotated.vcf,RVBD_1588c,320
TB_RSA124.annotated.vcf,RVBD_1765c,1006
TB_RSA124.annotated.vcf,RVBD_1369c,885
TB_RSA124.annotated.vcf,RVBD_1764,885
TB_RSA124.annotated.vcf,RVBD_3185,885
TB_RSA124.annotated.vcf,RVBD_3187,885
TB_RSA124.annotated.vcf,RVBD_3475,885
TB_RSA124.annotated.vcf,RVBD_3380c,885
TB_RSA124.annotated.vcf,RVBD_3326,885
TB_RSA124.annotated.vcf,RVBD_1756c,885
TB_RSA124.annotated.vcf,RVBD_2106,885
TB_RSA124.annotated.vcf,RVBD_2167c,885
TB_RSA124.annotated.vcf,RVBD_2479c,885
TB_RSA124.annotated.vcf,RVBD_2649,885
TB_RSA124.annotated.vcf,RVBD_2279,885
TB_RSA124.annotated.vcf,RVBD_2355,884
TB_RSA124.annotated.vcf,RVBD_0278c,446
TB_RSA124.annotated.vcf,RVBD_2162c,397
TB_RSA124.annotated.vcf,RVBD_1452c,382
TB_RSA124.annotated.vcf,RVBD_3381c,327
TB_RSA124.annotated.vcf,RVBD_1763,327
TB_RSA124.annotated.vcf,RVBD_3184,327
TB_RSA124.annotated.vcf,RVBD_3186,327
TB_RSA124.annotated.vcf,RVBD_2105,327
TB_RSA124.annotated.vcf,RVBD_3474,327
TB_RSA124.annotated.vcf,RVBD_2278,327
TB_RSA124.annotated.vcf,RVBD_2480c,327
TB_RSA124.annotated.vcf,RVBD_3325,327
TB_RSA124.annotated.vcf,RVBD_1370c,327
TB_RSA124.annotated.vcf,RVBD_2648,327
TB_RSA124.annotated.vcf,RVBD_2354,327
TB_RSA125.annotated.vcf,RVBD_1764,885
TB_RSA125.annotated.vcf,RVBD_3380c,885
TB_RSA125.annotated.vcf,RVBD_3326,885
TB_RSA125.annotated.vcf,RVBD_1756c,885
TB_RSA125.annotated.vcf,RVBD_2106,885
TB_RSA125.annotated.vcf,RVBD_2167c,885
TB_RSA125.annotated.vcf,RVBD_2479c,885
TB_RSA125.annotated.vcf,RVBD_2649,885
TB_RSA125.annotated.vcf,RVBD_2279,885
TB_RSA125.annotated.vcf,RVBD_2355,885
TB_RSA125.annotated.vcf,RVBD_1369c,884
TB_RSA125.annotated.vcf,RVBD_3475,883
TB_RSA125.annotated.vcf,RVBD_3187,690
TB_RSA125.annotated.vcf,RVBD_1765c,374
TB_RSA125.annotated.vcf,RVBD_1452c,329
TB_RSA125.annotated.vcf,RVBD_1763,327
TB_RSA125.annotated.vcf,RVBD_2105,327
TB_RSA125.annotated.vcf,RVBD_3474,327
TB_RSA125.annotated.vcf,RVBD_2278,327
TB_RSA125.annotated.vcf,RVBD_2480c,327
TB_RSA125.annotated.vcf,RVBD_3325,327
TB_RSA125.annotated.vcf,RVBD_1370c,327
TB_RSA125.annotated.vcf,RVBD_2648,327
TB_RSA125.annotated.vcf,RVBD_2168c,327
TB_RSA125.annotated.vcf,RVBD_2354,327
TB_RSA125.annotated.vcf,RVBD_1757c,327
TB_RSA125.annotated.vcf,RVBD_3381c,326
TB_RSA125.annotated.vcf,RVBD_3348,289
TB_RSA125.annotated.vcf,RVBD_3507,262
TB_RSA125.annotated.vcf,RVBD_3184,172
TB_RSA127.annotated.vcf,RVBD_0278c,2069
TB_RSA127.annotated.vcf,RVBD_3327,1016
TB_RSA127.annotated.vcf,RVBD_1369c,885
TB_RSA127.annotated.vcf,RVBD_1764,885
TB_RSA127.annotated.vcf,RVBD_3185,885
TB_RSA127.annotated.vcf,RVBD_3475,885
TB_RSA127.annotated.vcf,RVBD_3380c,885
TB_RSA127.annotated.vcf,RVBD_3326,885
TB_RSA127.annotated.vcf,RVBD_0796,885
TB_RSA127.annotated.vcf,RVBD_1756c,885
TB_RSA127.annotated.vcf,RVBD_2106,885
TB_RSA127.annotated.vcf,RVBD_2167c,885
TB_RSA127.annotated.vcf,RVBD_2279,885
TB_RSA127.annotated.vcf,RVBD_2479c,885
TB_RSA127.annotated.vcf,RVBD_2649,885
TB_RSA127.annotated.vcf,RVBD_2355,885
TB_RSA127.annotated.vcf,RVBD_3187,654
TB_RSA127.annotated.vcf,RVBD_0279c,585
TB_RSA127.annotated.vcf,RVBD_1452c,462
TB_RSA127.annotated.vcf,RVBD_0124,340
TB_RSA127.annotated.vcf,RVBD_3381c,327
TB_RSA127.annotated.vcf,RVBD_1763,327
TB_RSA127.annotated.vcf,RVBD_3184,327
TB_RSA127.annotated.vcf,RVBD_3186,327
TB_RSA127.annotated.vcf,RVBD_2105,327
TB_RSA127.annotated.vcf,RVBD_3474,327
TB_RSA127.annotated.vcf,RVBD_2278,327
TB_RSA127.annotated.vcf,RVBD_2480c,327
TB_RSA127.annotated.vcf,RVBD_3325,327
TB_RSA127.annotated.vcf,RVBD_1370c,327
TB_RSA128.annotated.vcf,RVBD_0278c,1255
TB_RSA128.annotated.vcf,RVBD_1369c,885
TB_RSA128.annotated.vcf,RVBD_1764,885
TB_RSA128.annotated.vcf,RVBD_3475,885
TB_RSA128.annotated.vcf,RVBD_3380c,885
TB_RSA128.annotated.vcf,RVBD_3326,885
TB_RSA128.annotated.vcf,RVBD_0796,885
TB_RSA128.annotated.vcf,RVBD_1756c,885
TB_RSA128.annotated.vcf,RVBD_2106,885
TB_RSA128.annotated.vcf,RVBD_2167c,885
TB_RSA128.annotated.vcf,RVBD_2279,885
TB_RSA128.annotated.vcf,RVBD_2479c,885
TB_RSA128.annotated.vcf,RVBD_2649,885
TB_RSA128.annotated.vcf,RVBD_2355,885
TB_RSA128.annotated.vcf,RVBD_3187,589
TB_RSA128.annotated.vcf,RVBD_1087,473
TB_RSA128.annotated.vcf,RVBD_0279c,442
TB_RSA128.annotated.vcf,RVBD_3381c,327
TB_RSA128.annotated.vcf,RVBD_1763,327
TB_RSA128.annotated.vcf,RVBD_3184,327
TB_RSA128.annotated.vcf,RVBD_2105,327
TB_RSA128.annotated.vcf,RVBD_3474,327
TB_RSA128.annotated.vcf,RVBD_2278,327
TB_RSA128.annotated.vcf,RVBD_2480c,327
TB_RSA128.annotated.vcf,RVBD_3325,327
TB_RSA128.annotated.vcf,RVBD_1370c,327
TB_RSA128.annotated.vcf,RVBD_2815c,327
TB_RSA128.annotated.vcf,RVBD_0795,327
TB_RSA128.annotated.vcf,RVBD_2648,327
TB_RSA128.annotated.vcf,RVBD_2168c,327
TB_RSA129.annotated.vcf,RVBD_1369c,885
TB_RSA129.annotated.vcf,RVBD_1764,885
TB_RSA129.annotated.vcf,RVBD_3475,885
TB_RSA129.annotated.vcf,RVBD_3380c,885
TB_RSA129.annotated.vcf,RVBD_3326,885
TB_RSA129.annotated.vcf,RVBD_0796,885
TB_RSA129.annotated.vcf,RVBD_1756c,885
TB_RSA129.annotated.vcf,RVBD_2106,885
TB_RSA129.annotated.vcf,RVBD_2167c,885
TB_RSA129.annotated.vcf,RVBD_2279,885
TB_RSA129.annotated.vcf,RVBD_2479c,885
TB_RSA129.annotated.vcf,RVBD_2649,885
TB_RSA129.annotated.vcf,RVBD_2355,885
TB_RSA129.annotated.vcf,RVBD_0278c,556
TB_RSA129.annotated.vcf,RVBD_1087,550
TB_RSA129.annotated.vcf,RVBD_2814c,540
TB_RSA129.annotated.vcf,RVBD_3187,491
TB_RSA129.annotated.vcf,RVBD_1396c,481
TB_RSA129.annotated.vcf,RVBD_1452c,410
TB_RSA129.annotated.vcf,RVBD_3381c,327
TB_RSA129.annotated.vcf,RVBD_1763,327
TB_RSA129.annotated.vcf,RVBD_3184,327
TB_RSA129.annotated.vcf,RVBD_2105,327
TB_RSA129.annotated.vcf,RVBD_3474,327
TB_RSA129.annotated.vcf,RVBD_2278,327
TB_RSA129.annotated.vcf,RVBD_2480c,327
TB_RSA129.annotated.vcf,RVBD_3325,327
TB_RSA129.annotated.vcf,RVBD_1370c,327
TB_RSA129.annotated.vcf,RVBD_2815c,327
TB_RSA129.annotated.vcf,RVBD_0795,327
TB_RSA12.annotated.vcf,RVBD_2814c,885
TB_RSA12.annotated.vcf,RVBD_3475,885
TB_RSA12.annotated.vcf,RVBD_2106,885
TB_RSA12.annotated.vcf,RVBD_2167c,885
TB_RSA12.annotated.vcf,RVBD_2479c,885
TB_RSA12.annotated.vcf,RVBD_2649,885
TB_RSA12.annotated.vcf,RVBD_2279,885
TB_RSA12.annotated.vcf,RVBD_2355,885
TB_RSA12.annotated.vcf,RVBD_1452c,713
TB_RSA12.annotated.vcf,RVBD_0279c,598
TB_RSA12.annotated.vcf,RVBD_0796,527
TB_RSA12.annotated.vcf,RVBD_1450c,451
TB_RSA12.annotated.vcf,RVBD_3508,418
TB_RSA12.annotated.vcf,RVBD_3187,363
TB_RSA12.annotated.vcf,RVBD_2480c,327
TB_RSA12.annotated.vcf,RVBD_2105,327
TB_RSA12.annotated.vcf,RVBD_3474,327
TB_RSA12.annotated.vcf,RVBD_2278,327
TB_RSA12.annotated.vcf,RVBD_0795,327
TB_RSA12.annotated.vcf,RVBD_2815c,327
TB_RSA12.annotated.vcf,RVBD_3325,327
TB_RSA12.annotated.vcf,RVBD_2648,327
TB_RSA12.annotated.vcf,RVBD_2168c,327
TB_RSA12.annotated.vcf,RVBD_2354,327
TB_RSA12.annotated.vcf,RVBD_0278c,295
TB_RSA12.annotated.vcf,RVBD_1753c,287
TB_RSA12.annotated.vcf,RVBD_0746,217
TB_RSA12.annotated.vcf,RVBD_0107c,119
TB_RSA12.annotated.vcf,RVBD_0978c,117
TB_RSA12.annotated.vcf,RVBD_2090,116
TB_RSA137.annotated.vcf,RVBD_1765c,1062
TB_RSA137.annotated.vcf,RVBD_1369c,885
TB_RSA137.annotated.vcf,RVBD_1764,885
TB_RSA137.annotated.vcf,RVBD_3185,885
TB_RSA137.annotated.vcf,RVBD_3187,885
TB_RSA137.annotated.vcf,RVBD_3475,885
TB_RSA137.annotated.vcf,RVBD_3380c,885
TB_RSA137.annotated.vcf,RVBD_3326,885
TB_RSA137.annotated.vcf,RVBD_0796,885
TB_RSA137.annotated.vcf,RVBD_1756c,885
TB_RSA137.annotated.vcf,RVBD_2106,885
TB_RSA137.annotated.vcf,RVBD_2167c,885
TB_RSA137.annotated.vcf,RVBD_2479c,885
TB_RSA137.annotated.vcf,RVBD_2649,885
TB_RSA137.annotated.vcf,RVBD_2279,885
TB_RSA137.annotated.vcf,RVBD_2355,885
TB_RSA137.annotated.vcf,RVBD_3327,382
TB_RSA137.annotated.vcf,RVBD_3381c,327
TB_RSA137.annotated.vcf,RVBD_1763,327
TB_RSA137.annotated.vcf,RVBD_3184,327
TB_RSA137.annotated.vcf,RVBD_3186,327
TB_RSA137.annotated.vcf,RVBD_2105,327
TB_RSA137.annotated.vcf,RVBD_3474,327
TB_RSA137.annotated.vcf,RVBD_2278,327
TB_RSA137.annotated.vcf,RVBD_2480c,327
TB_RSA137.annotated.vcf,RVBD_3325,327
TB_RSA137.annotated.vcf,RVBD_1370c,327
TB_RSA137.annotated.vcf,RVBD_0795,327
TB_RSA137.annotated.vcf,RVBD_2648,327
TB_RSA137.annotated.vcf,RVBD_2168c,327
TB_RSA138.annotated.vcf,RVBD_1765c,1050
TB_RSA138.annotated.vcf,RVBD_3345c,1022
TB_RSA138.annotated.vcf,RVBD_1369c,885
TB_RSA138.annotated.vcf,RVBD_1764,885
TB_RSA138.annotated.vcf,RVBD_3185,885
TB_RSA138.annotated.vcf,RVBD_3187,885
TB_RSA138.annotated.vcf,RVBD_3475,885
TB_RSA138.annotated.vcf,RVBD_3380c,885
TB_RSA138.annotated.vcf,RVBD_3326,885
TB_RSA138.annotated.vcf,RVBD_0796,885
TB_RSA138.annotated.vcf,RVBD_1756c,885
TB_RSA138.annotated.vcf,RVBD_2106,885
TB_RSA138.annotated.vcf,RVBD_2167c,885
TB_RSA138.annotated.vcf,RVBD_2479c,885
TB_RSA138.annotated.vcf,RVBD_2649,885
TB_RSA138.annotated.vcf,RVBD_2279,885
TB_RSA138.annotated.vcf,RVBD_2355,885
TB_RSA138.annotated.vcf,RVBD_1452c,492
TB_RSA138.annotated.vcf,RVBD_2162c,429
TB_RSA138.annotated.vcf,RVBD_3381c,327
TB_RSA138.annotated.vcf,RVBD_1763,327
TB_RSA138.annotated.vcf,RVBD_3184,327
TB_RSA138.annotated.vcf,RVBD_3186,327
TB_RSA138.annotated.vcf,RVBD_2105,327
TB_RSA138.annotated.vcf,RVBD_3474,327
TB_RSA138.annotated.vcf,RVBD_2278,327
TB_RSA138.annotated.vcf,RVBD_2480c,327
TB_RSA138.annotated.vcf,RVBD_3325,327
TB_RSA138.annotated.vcf,RVBD_1370c,327
TB_RSA138.annotated.vcf,RVBD_0795,327
TB_RSA13.annotated.vcf,RVBD_1764,885
TB_RSA13.annotated.vcf,RVBD_2814c,885
TB_RSA13.annotated.vcf,RVBD_3475,885
TB_RSA13.annotated.vcf,RVBD_3326,885
TB_RSA13.annotated.vcf,RVBD_0796,885
TB_RSA13.annotated.vcf,RVBD_1756c,885
TB_RSA13.annotated.vcf,RVBD_2106,885
TB_RSA13.annotated.vcf,RVBD_2167c,885
TB_RSA13.annotated.vcf,RVBD_2479c,885
TB_RSA13.annotated.vcf,RVBD_2649,885
TB_RSA13.annotated.vcf,RVBD_2279,885
TB_RSA13.annotated.vcf,RVBD_2355,885
TB_RSA13.annotated.vcf,RVBD_3508,575
TB_RSA13.annotated.vcf,RVBD_3327,394
TB_RSA13.annotated.vcf,RVBD_1450c,350
TB_RSA13.annotated.vcf,RVBD_2480c,327
TB_RSA13.annotated.vcf,RVBD_2105,327
TB_RSA13.annotated.vcf,RVBD_3474,327
TB_RSA13.annotated.vcf,RVBD_2278,327
TB_RSA13.annotated.vcf,RVBD_0795,327
TB_RSA13.annotated.vcf,RVBD_2815c,327
TB_RSA13.annotated.vcf,RVBD_3325,327
TB_RSA13.annotated.vcf,RVBD_2648,327
TB_RSA13.annotated.vcf,RVBD_2168c,327
TB_RSA13.annotated.vcf,RVBD_2354,327
TB_RSA13.annotated.vcf,RVBD_1763,327
TB_RSA13.annotated.vcf,RVBD_1757c,327
TB_RSA13.annotated.vcf,RVBD_0278c,293
TB_RSA13.annotated.vcf,RVBD_1452c,278
TB_RSA13.annotated.vcf,RVBD_0279c,263
TB_RSA140.annotated.vcf,RVBD_1765c,1041
TB_RSA140.annotated.vcf,RVBD_1369c,885
TB_RSA140.annotated.vcf,RVBD_1764,885
TB_RSA140.annotated.vcf,RVBD_3185,885
TB_RSA140.annotated.vcf,RVBD_3187,885
TB_RSA140.annotated.vcf,RVBD_3475,885
TB_RSA140.annotated.vcf,RVBD_3326,885
TB_RSA140.annotated.vcf,RVBD_1756c,885
TB_RSA140.annotated.vcf,RVBD_2106,885
TB_RSA140.annotated.vcf,RVBD_2167c,885
TB_RSA140.annotated.vcf,RVBD_2279,885
TB_RSA140.annotated.vcf,RVBD_2479c,885
TB_RSA140.annotated.vcf,RVBD_2649,885
TB_RSA140.annotated.vcf,RVBD_2355,885
TB_RSA140.annotated.vcf,RVBD_3380c,872
TB_RSA140.annotated.vcf,RVBD_3388,501
TB_RSA140.annotated.vcf,RVBD_3381c,327
TB_RSA140.annotated.vcf,RVBD_1763,327
